Culture,Image,Class
C,..\..\..\FINALDS\originals\carpets\indian\with\image_0.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_10.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1001.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1002.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1003.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1004.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1005.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1006.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1007.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1008.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1009.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_101.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1011.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1012.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1013.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1014.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1015.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1016.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1017.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1018.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1020.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1021.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1022.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1023.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1024.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1026.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1027.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1028.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1029.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_103.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1030.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1031.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1032.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1033.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1034.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1035.jpeg,1
