Culture,Image,Class
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1000-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1001-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1002-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1003-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1005-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1006-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1007-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1009-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1010-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1012-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1013-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1016-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1020-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1022-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1023-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1024-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1026-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1027-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1028-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1031-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1033-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1034-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1035-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1038-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1039-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1041-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1042-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1044-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1046-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1047-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1048-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1049-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1050-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1051-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1052-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1054-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1055-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1056-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1059-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1062-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1063-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1064-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1066-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1067-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1069-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1071-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1073-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1081-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1083-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1084-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1085-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1087-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1088-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1092-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1095-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1096-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1099-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1105-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1107-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1108-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1109-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1111-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_1112-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_831-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_832-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_833-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_834-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_835-removebg-preview.png,1
C,..\..\..\FINALDS\originals\lamps\chinese\on\chineseimage_836-removebg-preview.png,1
